w,w,ADP,24207
nie,nie,PART,22796
się,się,PRON,21924
i,i,CCONJ,21469
na,na,ADP,19411
to,ten,DET,17250
z,z,ADP,15937
jest,być,AUX,12773
do,do,ADP,12498
że,że,SCONJ,9648
jak,jak,ADV,7366
o,o,ADP,6652
co,co,PRON,6060
a,a,CCONJ,4895
czy,czy,PART,4863
ale,ale,CCONJ,4618
są,być,AUX,4311
dla,dla,ADP,4174
tak,tak,ADV,4097
po,po,ADP,4087
za,za,ADP,3831
tym,tym,ADV,3562
od,od,ADP,3146
tego,to,PRON,3132
może,móc,VERB,3091
tylko,tylko,PART,2993
mnie,ja,PRON,2971
już,już,PART,2850
bardzo,bardzo,ADV,2762
ma,mieć,VERB,2741
mi,ja,PRON,2491
jeśli,jeśli,SCONJ,2123
można,można,VERB,2091
by,by,SCONJ,2083
będzie,być,VERB,2076
go,on,PRON,2008
ze,z,ADP,1892
przez,przez,ADP,1889
też,też,PART,1866
mam,mieć,VERB,1722
ja,ja,PRON,1716
sobie,siebie,PRON,1712
ich,on,PRON,1707
jeszcze,jeszcze,PART,1671
jego,on,PRON,1659
oraz,oraz,CCONJ,1651
więc,więc,SCONJ,1622
jej,on,PRON,1619
wszystko,wszystko,PRON,1595
coś,coś,PRON,1584
tu,tu,ADV,1582
jednak,jednak,PART,1569
nas,my,PRON,1537
teraz,teraz,ADV,1519
było,być,VERB,1504
był,być,AUX,1435
żeby,żeby,SCONJ,1428
aby,aby,SCONJ,1413
które,który,DET,1411
lub,lub,CCONJ,1409
kiedy,kiedy,ADV,1402
również,również,PART,1393
tej,ten,DET,1369
jestem,być,AUX,1363
bo,bo,SCONJ,1313
ten,ten,DET,1280
ci,ty,PRON,1275
bez,bez,ADP,1265
te,ten,DET,1180
dlaczego,dlaczego,ADV,1173
tam,tam,ADV,1165
przy,przy,ADP,1133
zawsze,zawsze,ADV,1129
nawet,nawet,PART,1121
była,być,AUX,1117
więcej,więcej,DET,1111
przed,przed,ADP,1095
ją,on,PRON,1089
czas,czas,NOUN,1086
dobrze,dobrze,ADV,1086
gdy,gdy,ADV,1048
cię,ty,PRON,1030
jesteś,być,VERB,1017
gdzie,gdzie,ADV,1003
jakie,jaki,DET,1000
wszystkie,wszystek,DET,999
także,także,PART,997
je,on,PRON,993
nic,nic,PRON,984
wiele,wiele,DET,978
masz,mieć,VERB,977
pracy,praca,NOUN,965
mogę,móc,VERB,947
dzieci,dziecko,NOUN,933
on,on,PRON,932
wiem,wiedzieć,VERB,929
możesz,móc,VERB,917
mamy,mieć,VERB,905
pod,pod,ADP,902
tutaj,tutaj,ADV,902
kto,kto,PRON,892
należy,należeć,VERB,881
kilka,kilka,DET,876
tych,ten,DET,874
nam,my,PRON,865
domu,dom,NOUN,864
sposób,sposób,NOUN,857
ta,ten,DET,852
nigdy,nigdy,ADV,846
ty,ty,PRON,844
zrobić,zrobić,VERB,844
takie,taki,DET,833
który,który,DET,829
naprawdę,naprawdę,PART,822
każdy,każdy,DET,798
mu,on,PRON,790
niż,niż,SCONJ,786
wszystkich,wszystek,DET,783
nich,on,PRON,778
chyba,chyba,PART,772
trzeba,trzeba,VERB,757
chcesz,chcieć,VERB,750
być,być,AUX,748
swoje,swój,DET,748
jako,jako,SCONJ,737
mają,mieć,VERB,736
właśnie,właśnie,PART,734
czasu,czas,NOUN,734
siebie,siebie,PRON,732
nim,on,PRON,724
ktoś,ktoś,PRON,723
pan,pan,NOUN,708
będą,być,AUX,708
u,u,ADP,706
możemy,móc,VERB,705
trochę,trochę,ADV,705
warto,warto,VERB,703
proszę,prosić,VERB,703
dlatego,dlatego,ADV,697
ludzi,człowiek,NOUN,697
dzięki,dzięki,ADP,694
czym,co,PRON,690
bardziej,bardzo,ADV,669
jaki,jaki,DET,656
razem,raz,NOUN,655
podczas,podczas,ADP,651
ciebie,ty,PRON,650
raz,raz,NOUN,649
chcę,chcieć,VERB,634
wszystkim,wszystko,PRON,634
mogą,móc,VERB,632
ona,on,PRON,630
życie,życie,NOUN,629
mieć,mieć,VERB,628
ludzie,człowiek,NOUN,622
wiesz,wiedzieć,VERB,619
miejsce,miejsce,NOUN,608
będę,być,AUX,606
moje,mój,DET,601
wtedy,wtedy,ADV,600
innych,inny,ADJ,596
jesteśmy,być,AUX,595
wszyscy,wszyscy,PRON,593
no,no,PART,592
dużo,dużo,DET,591
która,który,DET,590
osób,osoba,NOUN,587
prostu,prosty,ADJ,585
rzeczy,rzecz,NOUN,568
czego,co,PRON,565
dziś,dziś,ADV,562
mój,mój,DET,562
nad,nad,ADP,562
dwa,dwa,NUM,548
im,im,SCONJ,537
były,być,AUX,535
ile,ile,ADV,535
lepiej,dobrze,ADV,531
nasze,nasz,DET,529
oczywiście,oczywiście,PART,528
wielu,wiele,DET,527
roku,rok,NOUN,526
życia,życie,NOUN,526
często,często,ADV,522
niego,on,PRON,519
jeden,jeden,ADJ,518
swoją,swój,DET,513
dzień,dzień,NOUN,510
naszej,nasz,DET,510
muszę,musieć,VERB,509
albo,albo,CCONJ,507
pani,pani,NOUN,500
zapraszamy,zapraszać,VERB,500
wygląda,wyglądać,VERB,498
chce,chcieć,VERB,493
temu,to,PRON,490
naszych,nasz,DET,487
szybko,szybko,ADV,480
taki,taki,DET,473
temat,temat,NOUN,468
musisz,musieć,VERB,467
będziesz,być,AUX,466
chodzi,chodzić,VERB,463
stanie,stan,NOUN,463
inne,inny,ADJ,457
lat,rok,NOUN,456
cały,cały,ADJ,452
niej,on,PRON,451
możliwość,możliwość,NOUN,450
prawda,prawda,NOUN,446
tę,ten,DET,444
nikt,nikt,PRON,442
którzy,który,DET,439
czasie,czas,NOUN,438
każdego,każdy,DET,436
gdyby,gdyby,SCONJ,435
których,który,DET,435
we,w,ADP,435
przypadku,przypadek,NOUN,434
dnia,dzień,NOUN,431
najbardziej,bardzo,ADV,428
miał,mieć,VERB,427
moim,mój,DET,422
musimy,musieć,VERB,421
naszym,nasz,DET,420
strony,strona,NOUN,419
jeżeli,jeżeli,SCONJ,417
powiedzieć,powiedzieć,VERB,413
dziecko,dziecko,NOUN,412
zbyt,zbyt,ADV,411
pewno,pewno,ADV,410
niestety,niestety,PART,409
osoby,osoba,NOUN,407
musi,musieć,VERB,404
swoich,swój,DET,403
moja,mój,DET,402
razie,raz,NOUN,402
miejscu,miejsce,NOUN,399
znaleźć,znaleźć,VERB,399
myślę,myśleć,VERB,398
dwóch,dwa,NUM,396
potem,potem,ADV,394
dzisiaj,dzisiaj,NOUN,391
pierwszy,pierwszy,ADJ,386
dobra,dobry,ADJ,385
miejsca,miejsce,NOUN,385
my,my,PRON,384
tyle,tyle,DET,384
sam,sam,ADJ,382
aż,aż,PART,379
sobą,siebie,PRON,378
jakieś,jakiś,DET,372
którym,który,DET,369
dobre,dobry,ADJ,366
uwagę,uwaga,NOUN,366
końcu,koniec,NOUN,361
swój,swój,DET,361
poza,poza,ADP,359
twój,twój,DET,358
takich,taki,DET,357
nowe,nowy,ADJ,356
dziecka,dziecko,NOUN,355
oni,on,PRON,354
będziemy,być,AUX,353
ani,ani,CCONJ,352
każdym,każdy,DET,351
nadzieję,nadzieja,NOUN,351
firmy,firma,NOUN,350
ważne,ważny,ADJ,350
czyli,czyli,CCONJ,350
taka,taki,DET,350
dni,dzień,NOUN,346
dobry,dobry,ADJ,342
jakiś,jakiś,DET,342
został,zostać,AUX,342
nią,on,PRON,341
tą,ten,DET,340
twoje,twój,DET,340
pewnie,pewnie,PART,338
robić,robić,VERB,338
was,wy,PRON,338
naszego,nasz,DET,338
samo,sam,ADJ,338
swoim,swój,DET,338
mojej,mój,DET,338
zdjęcia,zdjęcie,NOUN,337
informacje,informacja,NOUN,337
życiu,życie,NOUN,335
nami,my,PRON,335
swojej,swój,DET,335
przecież,przecież,PART,334
